timestamp,OAT,Electricity:Facility [kWh](TimeStep),HVAC_Elec
2023/ 01/04  12:00:00,26.96,1.643406499,1.304008104
2023/ 01/04  12:15:00,27.23,1.617831751,1.280993711
2023/ 01/04  12:30:00,27.5,1.595144572,1.257533698
2023/ 01/04  12:45:00,27.77,1.469533918,1.155364389
2023/ 01/04  13:00:00,28.04,1.109142116,0.886361847
2023/ 01/04  13:15:00,28.265,1.067179726,0.848131779
2023/ 01/04  13:30:00,28.49,1.016171393,0.797123445
2023/ 01/04  13:45:00,28.715,0.986001751,0.766953804
2023/ 01/04  14:00:00,28.94,0.965937072,0.746889125
2023/ 01/04  14:15:00,28.94,0.951952921,0.732275357
2023/ 01/04  14:30:00,28.94,0.940922952,0.721245388
2023/ 01/04  14:45:00,28.94,0.949665212,0.729987648
2023/ 01/04  15:00:00,28.94,0.961176402,0.741498838
2023/ 01/04  15:15:00,28.715,1.010563016,0.772164382
2023/ 01/04  15:30:00,28.49,1.046975679,0.808577045
2023/ 01/04  15:45:00,28.265,1.487489897,1.137543106
2023/ 01/04  16:00:00,28.04,1.531068337,1.180223526
2023/ 01/04  16:15:00,27.77,1.63442287,1.22061383
2023/ 01/04  16:30:00,27.5,1.703246183,1.288616481
2023/ 01/04  16:45:00,27.23,1.778475385,1.36303974
2023/ 01/04  17:00:00,26.96,1.629554245,1.276295134
2023/ 01/04  17:15:00,26.735,1.564384308,1.186241177
2023/ 01/04  17:30:00,26.51,1.618585305,1.240442175
2023/ 01/04  17:45:00,26.285,1.672389107,1.294245977
2023/ 01/04  18:00:00,26.06,1.723913284,1.345770153
2023/ 01/04  18:15:00,26.06,1.717604239,1.301772107
2023/ 01/04  18:30:00,26.06,1.704540667,1.288708535
2023/ 01/04  18:45:00,26.06,1.690689611,1.274857479
2023/ 01/04  19:00:00,26.06,1.67542903,1.259596898
2023/ 01/04  19:15:00,25.79,2.08971091,1.56836504
2023/ 01/04  19:30:00,25.52,2.110740046,1.588643429
2023/ 01/04  19:45:00,25.25,2.130846076,1.608029173
2023/ 01/04  20:00:00,24.98,2.153358493,1.629844572
2023/ 01/04  20:15:00,24.755,2.170701859,1.651526949
2023/ 01/04  20:30:00,24.53,2.193429494,1.673563223
2023/ 01/04  20:45:00,24.305,2.078759843,1.600600191
2023/ 01/04  21:00:00,24.08,1.862939764,1.458395833
2023/ 01/04  21:15:00,23.81,1.852358269,1.480946264
2023/ 01/04  21:30:00,23.54,1.876175729,1.504763724
2023/ 01/04  21:45:00,23.27,1.897846254,1.526434249
2023/ 01/04  22:00:00,23,1.918699591,1.547287586
2023/ 01/04  22:15:00,22.73,1.890018668,1.591490042
2023/ 01/04  22:30:00,22.46,1.918852972,1.620324346
2023/ 01/04  22:45:00,22.19,1.943865822,1.645337197
2023/ 01/04  23:00:00,21.92,1.967212201,1.668683576
2023/ 01/04  23:15:00,21.695,1.922392411,1.68708185
2023/ 01/04  23:30:00,21.47,1.941083802,1.705773241
2023/ 01/04  23:45:00,21.245,2.093637094,1.746748515
2023/ 01/04  24:00:00,21.02,2.094471502,1.746748515
2023/ 01/05  00:15:00,21.02,2.045704797,1.746748515
2023/ 01/05  00:30:00,21.02,2.046648607,1.746748515
2023/ 01/05  00:45:00,21.02,1.972336599,1.745029257
2023/ 01/05  01:00:00,21.02,1.929733697,1.744051191
2023/ 01/05  01:15:00,20.75,1.915110713,1.744051191
2023/ 01/05  01:30:00,20.48,1.915110713,1.744051191
2023/ 01/05  01:45:00,20.21,1.915110713,1.744051191
2023/ 01/05  02:00:00,19.94,1.915110713,1.744051191
2023/ 01/05  02:15:00,19.715,1.910282879,1.744051191
2023/ 01/05  02:30:00,19.49,1.910282879,1.744051191
2023/ 01/05  02:45:00,19.265,1.910282879,1.744051191
2023/ 01/05  03:00:00,19.04,1.910282879,1.744051191
2023/ 01/05  03:15:00,19.04,1.90672547,1.744051191
2023/ 01/05  03:30:00,19.04,1.90672547,1.744051191
2023/ 01/05  03:45:00,19.04,1.90672547,1.744051191
2023/ 01/05  04:00:00,19.04,1.90672547,1.744051191
2023/ 01/05  04:15:00,18.77,1.916407368,1.744051191
2023/ 01/05  04:30:00,18.5,1.916407368,1.744051191
2023/ 01/05  04:45:00,18.23,1.916407368,1.744051191
2023/ 01/05  05:00:00,17.96,1.916407368,1.744051191
2023/ 01/05  05:15:00,17.96,1.953088479,1.744051191
2023/ 01/05  05:30:00,17.96,1.953088479,1.744051191
2023/ 01/05  05:45:00,17.96,1.953088479,1.744051191
2023/ 01/05  06:00:00,17.96,1.953088479,1.744051191
2023/ 01/05  06:15:00,17.96,1.981146163,1.744051191
2023/ 01/05  06:30:00,17.96,1.981146163,1.744051191
2023/ 01/05  06:45:00,17.96,1.981146163,1.744051191
2023/ 01/05  07:00:00,17.96,2.094793072,1.746748515
2023/ 01/05  07:15:00,18.23,2.119986973,1.746748515
2023/ 01/05  07:30:00,18.5,2.120365923,1.746748515
2023/ 01/05  07:45:00,18.77,2.12085681,1.746748515
2023/ 01/05  08:00:00,19.04,2.121446036,1.746748515
2023/ 01/05  08:15:00,19.265,2.091725951,1.746748515
2023/ 01/05  08:30:00,19.49,2.092297435,1.746748515
2023/ 01/05  08:45:00,19.715,2.092885666,1.746748515
2023/ 01/05  09:00:00,19.94,2.08239769,1.746495969
2023/ 01/05  09:15:00,20.705,1.614316327,1.39516363
2023/ 01/05  09:30:00,21.47,1.506346513,1.287193816
2023/ 01/05  09:45:00,22.235,1.415882702,1.196730005
2023/ 01/05  10:00:00,23,1.348224538,1.129071841
2023/ 01/05  10:15:00,23.495,1.306638101,1.083578151
2023/ 01/05  10:30:00,23.99,1.265350513,1.042290563
2023/ 01/05  10:45:00,24.485,1.234696995,1.011637045
2023/ 01/05  11:00:00,24.98,1.606161126,1.271849976
2023/ 01/05  11:15:00,25.25,1.58611922,1.248035916
2023/ 01/05  11:30:00,25.52,1.563708288,1.224873159
2023/ 01/05  11:45:00,25.79,1.549265782,1.209706057
2023/ 01/05  12:00:00,26.06,1.535626259,1.195367815
2023/ 01/05  12:15:00,26.555,1.48433452,1.146686311
2023/ 01/05  12:30:00,27.05,1.197943824,0.933584755
2023/ 01/05  12:45:00,27.545,1.016726623,0.793946354
2023/ 01/05  13:00:00,28.04,0.965135941,0.742355673
2023/ 01/05  13:15:00,28.265,0.927853258,0.70880531
2023/ 01/05  13:30:00,28.49,0.891295171,0.672247224
2023/ 01/05  13:45:00,28.715,0.863670914,0.644622967
2023/ 01/05  14:00:00,28.94,0.839157228,0.620109281
2023/ 01/05  14:15:00,28.94,0.838112807,0.618435244
2023/ 01/05  14:30:00,28.94,0.840895248,0.621217684
2023/ 01/05  14:45:00,28.94,0.847824393,0.62814683
2023/ 01/05  15:00:00,28.94,0.854533295,0.634855732
2023/ 01/05  15:15:00,28.715,1.271247606,0.921435019
